DRS;DRSNOME;REGSAUDE;MUNICIPIO;CNES;NOME;GESTAO;GRUPO_DE_HOSPITAIS;LEITOS_CLIN_ANTERIOR_A_COVID;LEITOS_CLIN_SUS;LEITOS_CLIN_EXISTENTE_CONVERTIDO_PARA_COVID;LEITO_CLINICO_AMPLIADO_EM_FUNCIONAMENTO;LEITO_CLINICO_PARA_AMPLIACAO_FUTURA;UTI_ADULTO_EXISTE;UTI_ADULTO_SUS;UTI_ADULTO_EXISTENTE_CONVERTIDO_PARA_COVID;UTI_ADULTO_AMPLIACAO_HABIMEDIATA_REMESSA_1;UTI_ADULTO_AMPLIACAO_HABIMEDIATA_REMESSA_2;UTI_ADULTO_AMPLIACAO_HABIMEDIATA_REMESSA_3;UTI_ADULTO_AMPLIACAO_HABIMEDIATA_REMESSA_4;UTI_ADULTO_AMPLIACAO_HABIMEDIATA_REMESSA_5;UTI_ADULTO_AMPLIACAO_HABIMEDIATA_REMESSA_6
1;GRANDE S. PAULO;Alto do Tiete;ARUJA;6451098.0;HOSPITAL DALILA FERREIRA BARBOSA;M;Municipais;9;9;0;0;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Alto do Tiete;ARUJA;6628842.0;PRONTO ATENDIMENTO BARRETO;M;Municipais;0;0;0;0;0;0;0;0;0;0;0;10;0;0
1;GRANDE S. PAULO;Alto do Tiete;BIRITIBA MIRIM;;POSTO DE ATENDIMENTO COVID;M;Municipais;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Alto do Tiete;FERRAZ DE VASCONCELOS;2080079.0;"HOSPITAL DR OSIRIS FLORINDO
COELHO FERRAZ DE VASCONCELOS";E;Estaduais-Direta;60;60;16;0;28;10;10;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Alto do Tiete;FERRAZ DE VASCONCELOS;116750.0;"HOSPITAL DE CAMPANHA DE FERRAZ/GINASIO PROF. ADÃO DIAS
DOS SANTOS";M;Municipais;18;18;0;20;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Alto do Tiete;GUARAREMA;2773333.0;SANTA CASA DE GUARAREMA;M;Priv.s. fins lucrativos;23;20;0;0;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Alto do Tiete;GUARULHOS;2040069.0;"HOSPITAL MATERNIDADE JESUS JOSE E
MARIA";M;Priv.s. fins lucrativos;15;15;3;0;0;6;6;1;0;0;0;0;0;0
1;GRANDE S. PAULO;Alto do Tiete;GUARULHOS;2080427.0;HOSPITAL MUNICIPAL DA CRIANCA E DO ADOLESCENTE HMCA;M;Municipais;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Alto do Tiete;GUARULHOS;2082276.0;CASAS ANDRE LUIZ GUARULHOS;E;Priv.s. fins lucrativos;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Alto do Tiete;GUARULHOS;2078155.0;HOSPITAL STELLA MARIS;M;Priv.s. fins lucrativos;58;58;0;0;0;12;10;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Alto do Tiete;GUARULHOS;2079410.0;"COMPLEXO HOSPITALAR PADRE
BENTO DE GUARULHOS";E;Estaduais-Direta;82;82;57;0;0;10;10;0;0;0;18;0;0;0
1;GRANDE S. PAULO;Alto do Tiete;GUARULHOS;2080338.0;HOSPITAL GERAL DE GUARULHOS PROF DR WALDEMAR DE CARVALHO;E;Estaduais-OSS;92;92;35;4;0;18;18;0;23;0;0;0;17;0
1;GRANDE S. PAULO;Alto do Tiete;GUARULHOS;2082861.0;"HOSP MUNICIPAL DE URGENCIAS
HMU";M;Municipais;55;55;0;0;0;10;10;0;0;0;10;0;0;0
1;GRANDE S. PAULO;Alto do Tiete;GUARULHOS;5200105.0;"HOSPITAL MUNICIPAL PIMENTAS
BONSUCESSO MANUEL DE PAIVA";M;Municipais;42;42;8;0;0;19;19;15;0;0;13;0;0;0
1;GRANDE S. PAULO;Alto do Tiete;GUARULHOS;102172.0;"HOSPITAL DE CAMPANHA
GUARULHOS";M;Municipais;40;40;0;70;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Alto do Tiete;ITAQUAQUECETUBA;2078562.0;HOSPITAL GERAL DE ITAQUAQUECETUBA;E;Estaduais-OSS;59;59;40;5;0;10;10;10;12;0;0;0;0;0
1;GRANDE S. PAULO;Alto do Tiete;MOGI DAS CRUZES;2080052.0;"HOSPITAL NOSSA SENHORA
APARECIDA";M;Priv.s. fins lucrativos;13;11;0;0;0;8;8;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Alto do Tiete;MOGI DAS CRUZES;2080680.0;"HOSPITAL DAS CLINICAS LUZIA DE
PINHO MELO MOGI DAS CRUZES";E;Estaduais-OSS;100;100;23;22;0;10;10;5;12;0;0;0;0;0
1;GRANDE S. PAULO;Alto do Tiete;MOGI DAS CRUZES;2084236.0;CENTRO ESP EM REABILITACAO DR ARNALDO PEZZUTI CAVALCANTI MOG;E;Estaduais-Direta;110;90;0;0;30;10;8;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Alto do Tiete;MOGI DAS CRUZES;7473702.0;"HOSP MUN DE MOGI DAS CRUZES
PREF WALDEMAR COSTA FILHO";M;Municipais;10;10;10;0;0;10;10;10;0;0;0;16;0;8
1;GRANDE S. PAULO;Alto do Tiete;MOGI DAS CRUZES;149632.0;"HOSPITAL DE CAMPANHA MOGI DAS
CRUZES";M;Municipais;0;0;0;50;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Alto do Tiete;POA;2082411.0;"HOSPITAL MUNICIPAL DR GUIDO
GUIDA";M;Municipais;27;27;15;0;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Alto do Tiete;POA;116750.0;"HOSPITAL DE CAMPANHA POA
CONTRA COVID19";M;Municipais;0;0;0;20;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Alto do Tiete;SALESOPOLIS;2079380.0;SANTA CASA DE SALESOPOLIS;M;Priv.s. fins lucrativos;13;12;4;0;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Alto do Tiete;SANTA ISABEL;2083140.0;SANTA CASA DE SANTA ISABEL;M;Priv.s. fins lucrativos;30;26;6;0;0;6;6;2;0;0;0;0;0;0
1;GRANDE S. PAULO;Alto do Tiete;SUZANO;2079860.0;SANTA CASA DE SUZANO;M;Priv.s. fins lucrativos;11;10;0;0;0;8;8;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Alto do Tiete;SUZANO;2078058.0;HC SUZANO;E;Estaduais-Outros;0;0;0;0;90;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Alto do Tiete;SUZANO;2039001.0;PRONTO SOCORRO MUNICIPAL;M;Municipais;12;12;0;0;0;0;0;0;0;0;0;0;0;12
1;GRANDE S. PAULO;Alto do Tiete;SUZANO;2034670.0;PRONTO ATENDIMENTO;M;Municipais;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Alto do Tiete;SUZANO;106232.0;HOSPITAL DE CAMPANHA SUZANO;M;Municipais;70;70;0;0;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Franco da Rocha;CAIEIRAS;7580770.0;HOSPITAL ESTADUAL DE CAIEIRAS;E;Estaduais-Direta;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Alto do Tiete;CAIEIRAS;110310.0;"HOSPITAL DE CAMPANHA COVID 19-
CAIEIRAS";M;Municipais;32;32;0;30;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Alto do Tiete;CAIEIRAS;6817203.0;HOSPITAL DE CLINICAS DE CAIEIRAS;M;Municipais;0;0;0;0;0;0;0;0;0;0;0;0;0;10
1;GRANDE S. PAULO;Franco da Rocha;CAJAMAR;2096196.0;"HOSPITAL ENF ANTONIO POLICARPO
DE OLIVEIRA";M;Municipais;18;18;0;0;0;0;0;0;0;0;0;0;0;18
1;GRANDE S. PAULO;Franco da Rocha;FRANCISCO MORATO;2083876.0;SANTA CASA DE FRANCISCO MORATO;M;Priv.s. fins lucrativos;60;46;0;35;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Franco da Rocha;FRANCISCO MORATO;3028399.0;HOSPITAL ESTADUAL PROF CARLOS DA SILVA LACAZ FCO MORATO;E;Estaduais-OSS;15;15;0;11;0;10;10;10;0;0;0;0;0;0
1;GRANDE S. PAULO;Franco da Rocha;FRANCO DA ROCHA;2746220.0;"COMPLEXO HOSPITALAR JUQUERY
FRANCO DA ROCHA";E;Estaduais-Direta;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Franco da Rocha;FRANCO DA ROCHA;2092107.0;HOSPITAL DE CLINICAS DE FRANCO DA ROCHA FRANCO DA ROCHA;E;Estaduais-Direta;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Franco da Rocha;FRANCO DA ROCHA;6878687.0;"HOSPITAL ESTADUAL DR ALBANO DA
FRANCA ROCHA SOBRINHO";E;Estaduais-OSS;30;30;0;0;0;11;11;5;0;0;0;0;0;0
1;GRANDE S. PAULO;Franco da Rocha;FRANCO DA ROCHA;2798220.0;HOSPITAL PREVINA;M;Municipais;32;0;0;0;0;11;0;0;0;0;0;28;0;0
1;GRANDE S. PAULO;Franco da Rocha;MAIRIPORA;2086336.0;"HOSPITAL E MATERNIDADE
MAIRIPORA";M;Priv.s. fins lucrativos;15;13;0;0;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Grande ABC;DIADEMA;2080028.0;"HOSPITAL MUNICIPAL DE DIADEMA
HMD";M;Municipais;69;69;26;0;0;10;10;0;0;0;20;0;0;0
1;GRANDE S. PAULO;Grande ABC;DIADEMA;2084163.0;"HOSPITAL ESTADUAL DE DIADEMA
HOSPITAL SERRARIA";E;Estaduais-OSS;47;47;10;14;0;18;18;10;0;0;0;0;0;0
1;GRANDE S. PAULO;Grande ABC;DIADEMA;5851084.0;QUARTEIRAO DA SAUDE;M;Municipais;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Grande ABC;DIADEMA;2077469.0;"HOSPITAL DOM ANTONIO
ALVARENGA";M;Municipais;87;51;0;0;0;28;0;0;0;0;0;0;0;10
1;GRANDE S. PAULO;Grande ABC;MAUA;2082349.0;"HOSPITAL DE CLINICAS DR RADAMES
NARDINI";M;Municipais;78;78;28;0;0;28;20;10;0;0;0;0;0;0
1;GRANDE S. PAULO;Grande ABC;MAUA;2751747.0;SANTA CASA DE MAUA;M;Priv.s. fins lucrativos;40;0;0;0;0;10;10;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Grande ABC;RIBEIRAO PIRES;2081202.0;"HOSPITAL E MATERNIDADE SAO
LUCAS";M;Municipais;33;33;11;0;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Grande ABC;SANTO ANDRE;6020917.0;"HOSPITAL DA MULHER MARIA JOSE
DOS SANTOS STEIN";M;Municipais;1;1;0;0;0;4;4;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Grande ABC;SANTO ANDRE;8923.0;"CENTRO HOSPITALAR DE SANTO
ANDRE DR NEWTON DA COSTA BRANDAO";M;Municipais;50;50;0;0;0;30;30;20;0;0;20;0;0;0
1;GRANDE S. PAULO;Grande ABC;SANTO ANDRE;2080273.0;"HOSPITAL ESTADUAL MARIO COVAS
DE SANTO ANDRE";E;Estaduais-OSS;87;87;24;20;0;59;59;27;0;0;0;0;0;0
1;GRANDE S. PAULO;Grande ABC;SANTO ANDRE;109746.0;"HOSPITAL DE CAMPANHA PEDRO DELL
ANTONIA";M;Municipais;0;0;0;160;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Grande ABC;SANTO ANDRE;150126.0;"HOSPITAL DE CAMPANHA ESTADIO
BRUNO DANIEL";M;Municipais;0;0;0;110;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Grande ABC;SANTO ANDRE;163279.0;"HOSPITAL DE CAMPANHA
UNIVERSIDADE FEDERAL DO ABC";M;Municipais;0;0;0;90;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Grande ABC;SAO BERNARDO DO CAMPO;2025361.0;HOSPITAL ANCHIETA;M;Priv.s. fins lucrativos;18;18;0;0;0;19;19;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Grande ABC;SAO BERNARDO DO CAMPO;105767.0;HOSPITAL DE CAMPANHA-  HOSPITAL ANCHIETA;M;Municipais;0;0;0;81;0;0;0;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Grande ABC;SAO BERNARDO DO CAMPO;2027356.0;HOSPITAL MUNICIPAL UNIVERSITARIO;M;Priv.s. fins lucrativos;3;3;0;0;0;7;7;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Grande ABC;SAO BERNARDO DO CAMPO;2069776.0;HOSPITAL E PRONTO SOCORRO CENTRAL;M;Municipais;92;92;0;0;0;10;10;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Grande ABC;SAO BERNARDO DO CAMPO;3223728.0;SANTA CASA DE MISERICORDIA DE SAO BERNARDO DO CAMPO;M;Priv.s. fins lucrativos;12;0;0;0;0;9;6;0;0;0;0;0;0;0
1;GRANDE S. PAULO;Grande ABC;SAO BERNARDO DO CAMPO;105759.0;HOSPITAL DE URGENCIA;M;Municipais;0;0;0;162;0;0;0;0;0;0;0;70;0;0
1;GRANDE S. PAULO;Grande ABC;SAO BERNARDO DO CAMPO;7373465.0;HOSPITAL DE CLINICAS MUNICIPAL;M;Municipais;72;72;0;12;0;40;40;29;20;0;0;1;0;0
1;GRANDE S. PAULO;Grande ABC;SAO CAETANO DO SUL;2082594.0;COMPLEXO HOSPITALAR MUNICIPAL;M;Municipais;55;55;30;0;0;10;10;10;0;0;0;40;0;0
